,DHT11_Temp,DHT11_Hum,DHT22_Temp,DHT22_Hum,heatIndex_DHT11,heatIndex_DHT22
DHT11_Temp,1.0,-0.17187203909950846,0.9241888811133036,-0.296871940227618,0.9802091954650989,0.8849533827142516
DHT11_Hum,-0.17187203909950846,1.0,-0.17503576951020658,0.8726867553234507,-0.011758194470240745,-0.12662862993540305
DHT22_Temp,0.9241888811133036,-0.17503576951020658,1.0,-0.3975225996147405,0.8925462509694163,0.9610794205151696
DHT22_Hum,-0.296871940227618,0.8726867553234507,-0.3975225996147405,1.0,-0.14709006400216104,-0.2601806013963784
heatIndex_DHT11,0.9802091954650989,-0.011758194470240745,0.8925462509694163,-0.14709006400216104,1.0,0.8697901872293651
heatIndex_DHT22,0.8849533827142516,-0.12662862993540305,0.9610794205151696,-0.2601806013963784,0.8697901872293651,1.0
